Date,VIX,S&P500,Historical_Volatility,Interest_Rate,Inflation,GDP_Growth,Unemployment_Rate,Money_Supply,TED_Spread
2014-02-14,13.56999969482422,1838.6300048828125,0.1420338166557352,,,,,,0.22
2014-02-18,13.869999885559082,1840.760009765625,0.1420546407097761,,,,,,0.18
2014-02-19,15.5,1828.75,0.143194080758732,,,,,,0.17
2014-02-20,14.789999961853027,1839.780029296875,0.1431758181649854,,,,,,0.19
2014-02-21,14.68000030517578,1836.25,0.1432908372496731,,,,,,0.18
2014-02-24,14.229999542236328,1847.6099853515625,0.1444028560211334,,,,,,0.18
2014-02-25,13.670000076293944,1845.1199951171875,0.1443305451687717,,,,,,0.18
2014-02-26,14.350000381469728,1845.1600341796875,0.1392526499094639,,,,,,0.18
2014-02-27,14.039999961853027,1854.2900390625,0.1364886138551693,,,,,,0.2
2014-02-28,14.0,1859.449951171875,0.135925982641006,,,,,,0.19
2014-03-03,16.0,1845.72998046875,0.1376490130695697,,,,,,0.19
2014-03-04,14.100000381469728,1873.9100341796875,0.1439563323576448,,,,,,0.19
2014-03-05,13.890000343322754,1873.81005859375,0.1438308596577887,,,,,,0.17
2014-03-06,14.210000038146973,1877.030029296875,0.1438688134679045,,,,,,0.19
2014-03-07,14.109999656677246,1878.0400390625,0.1410224696052092,,,,,,0.18
2014-03-10,14.199999809265137,1877.1700439453125,0.1251063354305615,,,,,,0.18
2014-03-11,14.800000190734863,1867.6300048828125,0.1252004743711785,,,,,,0.18
2014-03-12,14.470000267028809,1868.199951171875,0.1245034846611686,,,,,,0.18
2014-03-13,16.219999313354492,1846.3399658203125,0.1257817944969768,,,,,,0.18
2014-03-14,17.81999969482422,1841.1300048828125,0.1227297625389833,,,,,,0.18
2014-03-17,15.640000343322754,1858.8299560546875,0.123202428939632,,,,,,0.17
2014-03-18,14.520000457763672,1872.25,0.1004760972008234,,,,,,0.18
2014-03-19,15.119999885559082,1860.77001953125,0.102181166210139,,,,,,0.17
2014-03-20,14.520000457763672,1872.010009765625,0.1021144982876195,,,,,,0.17
2014-03-21,15.0,1866.52001953125,0.0984214890919092,,,,,,0.17
2014-03-24,15.09000015258789,1857.43994140625,0.093829725846265,,,,,,0.18
2014-03-25,14.020000457763672,1865.6199951171875,0.0943061964679265,,,,,,0.18
2014-03-26,14.93000030517578,1852.56005859375,0.092427312535589,,,,,,0.18
2014-03-27,14.619999885559082,1849.0400390625,0.0926829600603709,,,,,,0.19
2014-03-28,14.40999984741211,1857.6199951171875,0.0921674932626057,,,,,,0.19
2014-03-31,13.880000114440918,1872.3399658203125,0.0938541739655855,,,,,,0.18
2014-04-01,13.100000381469728,1885.52001953125,0.0956759127052198,0.09,236.468,5.3,6.2,11264.0,0.19
2014-04-02,13.09000015258789,1890.9000244140625,0.0932513505762464,,,,,,0.21
2014-04-03,13.369999885559082,1888.77001953125,0.0922855065438689,,,,,,0.21
2014-04-04,13.960000038146973,1865.0899658203125,0.0999128361614666,,,,,,0.2
2014-04-07,15.56999969482422,1845.0400390625,0.1035842808449523,,,,,,0.2
2014-04-08,14.890000343322754,1851.9599609375,0.1040716768943802,,,,,,0.2
2014-04-09,13.81999969482422,1872.1800537109373,0.1086512573962657,,,,,,0.19
2014-04-10,15.890000343322754,1833.0799560546875,0.1241653185581387,,,,,,0.19
2014-04-11,17.030000686645508,1815.68994140625,0.1265415376062812,,,,,,0.19
2014-04-14,16.110000610351562,1830.6099853515625,0.1275253567190423,,,,,,0.19
2014-04-15,15.609999656677246,1842.97998046875,0.1207353016838306,,,,,,0.19
2014-04-16,14.18000030517578,1862.31005859375,0.1248887698528489,,,,,,0.19
2014-04-17,13.359999656677246,1864.8499755859373,0.1248462764562149,,,,,,0.2
2014-04-21,13.25,1871.8900146484373,0.1253610858754667,,,,,,
2014-04-22,13.1899995803833,1879.550048828125,0.1259337149271925,,,,,,0.2
2014-04-23,13.270000457763672,1875.3900146484373,0.1251855407074473,,,,,,0.21
2014-04-24,13.31999969482422,1878.6099853515625,0.1252657895528202,,,,,,0.22
2014-04-25,14.0600004196167,1863.4000244140625,0.1226952627599571,,,,,,0.2
2014-04-28,13.970000267028809,1869.4300537109373,0.1225967841652426,,,,,,0.19
2014-04-29,13.710000038146973,1878.3299560546875,0.1202593861720985,,,,,,0.21
2014-04-30,13.40999984741211,1883.949951171875,0.1187838939949106,,,,,,0.19
2014-05-01,13.25,1883.6800537109373,0.1172529585997093,0.09,236.918,,6.3,11328.5,0.19
2014-05-02,12.90999984741211,1881.1400146484373,0.1161334105872471,,,,,,0.2
2014-05-05,13.289999961853027,1884.6600341796875,0.1158458682384864,,,,,,
