Date,VIX,S&P500,Historical_Volatility,TED_Spread,DBSCAN_Cluster
2014-02-14,-0.5164106485730482,-1.1867991374811648,0.00677505796182315,-0.3872977500158107,0
2014-02-18,-0.4762767855692368,-1.18402782598509,0.006979156545827968,-0.6357598865414669,0
2014-02-19,-0.25821625324449254,-1.1996538362351221,0.018146919561298797,-0.6978754206728808,0
2014-02-20,-0.3531996737346323,-1.185302861155615,0.017967926099381495,-0.5736443524100527,0
2014-02-21,-0.367915368217149,-1.1898957195339455,0.019095239362791533,-0.6357598865414669,0
2014-02-24,-0.42811622651388287,-1.1751154444960517,0.0299942437639476,-0.6357598865414669,0
2014-02-25,-0.5030326517111003,-1.1783551265349612,0.029285518049626636,-0.6357598865414669,0
2014-02-26,-0.41206257924673123,-1.1783030324223638,-0.02048342848274835,-0.6357598865414669,0
2014-02-27,-0.4535342674531446,-1.1664241453385242,-0.04757401534500997,-0.5115288182786387,0
2014-02-28,-0.4588854406815173,-1.1597106754010449,-0.05308841873169107,-0.5736443524100527,0
2014-03-03,-0.19132652409881756,-1.1775614854354204,-0.036200829505494324,-0.5736443524100527,0
2014-03-04,-0.4455074438195687,-1.1408969184011868,0.025617821801940888,-0.5736443524100527,0
2014-03-05,-0.47360113516403374,-1.1410269948591663,0.0243880516370355,-0.6978754206728808,0
2014-03-06,-0.4307917493370525,-1.136837548206438,0.024760040630485397,-0.5736443524100527,0
2014-03-07,-0.44416974619900085,-1.135523442451465,-0.0031372530869409328,-0.6357598865414669,0
2014-03-10,-0.432129574539654,-1.136655377635861,-0.15913283595922906,-0.6357598865414669,0
2014-03-11,-0.3518618485320308,-1.149067752903282,-0.1582101710236743,-0.6357598865414669,0
2014-03-12,-0.3960090595616135,-1.1483262059163388,-0.1650414351281307,-0.6357598865414669,0
2014-03-13,-0.1618951351337847,-1.1767678443358798,-0.1525125957918858,-0.6357598865414669,0
2014-03-14,0.05215204916518845,-1.183546431914106,-0.18242585858596405,-0.6357598865414669,0
2014-03-17,-0.2394870831541715,-1.1605173400287347,-0.17779320910812857,-0.6978754206728808,0
2014-03-18,-0.3893200611306393,-1.1430567593682979,-0.4005362023025107,-0.6357598865414669,0
2014-03-19,-0.3090524627050495,-1.1579931579204699,-0.3838246546976069,-0.6978754206728808,0
2014-03-20,-0.3893200611306393,-1.1433690063968542,-0.38447807350635754,-0.6978754206728808,0
2014-03-21,-0.32510598239016747,-1.1505119351162345,-0.4206736167027191,-0.6978754206728808,0
2014-03-24,-0.3130658107308206,-1.1623258633828413,-0.4656779359711994,-0.6357598865414669,0
2014-03-25,-0.45620979027631425,-1.1516829408850784,-0.4610080009523052,-0.6357598865414669,0
2014-03-26,-0.3344705036443115,-1.1686749921791666,-0.4794231255647397,-0.6357598865414669,0
2014-03-27,-0.3759421918507244,-1.173254827029348,-0.4769174992486627,-0.5736443524100527,0
2014-03-28,-0.4040358831951892,-1.162091598699667,-0.481969639591685,-0.5736443524100527,0
2014-03-31,-0.4749389603666353,-1.1429397064384677,-0.4654383175700423,-0.6357598865414669,0
2014-04-01,-0.5792869021109186,-1.1257913728065871,-0.4475832785629606,-0.5736443524100527,0
2014-04-02,-0.5806247273135203,-1.1187915440733358,-0.47134664838436724,-0.4494132841472247,0
2014-04-03,-0.5431665147149117,-1.1215628555694106,-0.48081297991570365,-0.4494132841472247,0
2014-04-04,-0.46423661390988996,-1.1523725525829382,-0.40605677866732137,-0.5115288182786387,0
2014-04-07,-0.2488517319903485,-1.178459155936642,-0.3700725913578177,-0.5115288182786387,0
2014-04-08,-0.33982167687268394,-1.169455768574072,-0.3652955751561534,-0.5115288182786387,0
2014-04-09,-0.48296578400021073,-1.1431477652418296,-0.3204106601470722,-0.5736443524100527,0
2014-04-10,-0.206042218581334,-1.194020207369441,-0.16835583407519586,-0.5736443524100527,0
2014-04-11,-0.05353359019966316,-1.2166460463527242,-0.14506627950247386,-0.5736443524100527,0
2014-04-14,-0.1766107020342677,-1.1972338423520519,-0.13542377245572346,-0.5736443524100527,0
2014-04-15,-0.24350055876197607,-1.1811394615591853,-0.20197376388768548,-0.5736443524100527,0
2014-04-16,-0.43480509736282386,-1.1559894404676372,-0.1612652173990816,-0.5736443524100527,0
2014-04-17,-0.5445043399175132,-1.152684799611495,-0.16168169932260684,-0.5115288182786387,0
2014-04-21,-0.5592200344000298,-1.1435251299111329,-0.15663600201048883,-0.5115288182786387,0
2014-04-22,-0.5672468580336054,-1.1335587955830804,-0.15102360884306656,-0.5115288182786387,0
2014-04-23,-0.5565443839948266,-1.1389713421172505,-0.1583565373179393,-0.4494132841472247,0
2014-04-24,-0.5498555131458857,-1.1347818954645217,-0.15757001056015965,-0.3872977500158107,0
2014-04-25,-0.4508586170479416,-1.1545713053109834,-0.18276399428393583,-0.5115288182786387,0
2014-04-28,-0.46289878870728846,-1.1467257413655942,-0.18372919259241718,-0.5736443524100527,0
2014-04-29,-0.4976814784827274,-1.1351462366056757,-0.20663825822003845,-0.4494132841472247,0
2014-04-30,-0.5378153414865391,-1.127834160843868,-0.2210997009094673,-0.5736443524100527,0
2014-05-01,-0.5592200344000298,-1.1281853196333589,-0.23610454798437136,-0.5736443524100527,0
2014-05-02,-0.604705070632214,-1.1314901193130151,-0.2470773472106896,-0.5115288182786387,0
2014-05-05,-0.553868861171657,-1.1269102844628336,-0.2498955778063352,-0.5115288182786387,0
2014-05-06,-0.4856413068233806,-1.1489506999734518,-0.2282552230574619,-0.5736443524100527,0
2014-05-07,-0.5391531666891408,-1.135302360119954,-0.22408213375340233,-0.5736443524100527,0
2014-05-08,-0.5351396910813363,-1.1386590950886937,-0.2425597964629595,-0.5736443524100527,0
2014-05-09,-0.6033672454296127,-1.1349510425069493,-0.24427490482204348,-0.5736443524100527,0
2014-05-12,-0.6956751430965826,-1.1113103212691005,-0.22051885948170413,-0.5115288182786387,0
2014-05-13,-0.7090530123764975,-1.1102695507817502,-0.2399143414298658,-0.5736443524100527,0
2014-05-14,-0.7037018391481251,-1.1218751025979672,-0.24759241392262674,-0.5115288182786387,0
2014-05-15,-0.5699223808567753,-1.1448783062505539,-0.21988015709250985,-0.5115288182786387,0
2014-05-16,-0.6675814517521178,-1.1357577071346394,-0.21445766267378913,-0.5115288182786387,0
2014-05-19,-0.6702569745752877,-1.1263639315746168,-0.2676835774389704,-0.5115288182786387,0
2014-05-20,-0.5980160722012399,-1.1423021888532052,-0.29688503005820527,-0.5115288182786387,0
2014-05-21,-0.7384845289235639,-1.1225256437113789,-0.27915632420440417,-0.5736443524100527,0
2014-05-22,-0.7224310092384459,-1.1167228678032703,-0.3193702416371934,-0.5115288182786387,0
2014-05-23,-0.8120632565002129,-1.1062621158760846,-0.5172229820847504,-0.5736443524100527,0
2014-05-27,-0.7919962612072904,-1.091455793781892,-0.56665893473452,-0.5736443524100527,0
2014-05-28,-0.7692537430911984,-1.0942271052779668,-0.5856325538883974,-0.5736443524100527,0
2014-05-29,-0.7839695651557479,-1.0808910124530253,-0.5924242129472352,-0.5736443524100527,0
2014-05-30,-0.8067120832718405,-1.0762852893700596,-0.6386536413157752,-0.5736443524100527,0
2014-06-02,-0.7826317399531464,-1.0744637424878039,-0.6386293780312686,-0.5736443524100527,0
2014-06-03,-0.7438357021519366,-1.0754135071016229,-0.6418773564660597,-0.5736443524100527,0
2014-06-04,-0.7157420108074716,-1.0706775487371634,-0.6470783821373538,-0.5736443524100527,0
2014-06-05,-0.7692537430911984,-1.0543099915001883,-0.6357741058458,-0.5736443524100527,0
2014-06-06,-0.8963443305336074,-1.042626298515075,-0.6293988180256918,-0.5736443524100527,0
2014-06-09,-0.840156947844678,-1.040245216392939,-0.6807852515107922,-0.5736443524100527,0
2014-06-10,-0.8615616407581683,-1.040869710450052,-0.6808101682259207,-0.5736443524100527,0
2014-06-11,-0.7799560895479433,-1.0498472095798377,-0.6741482010285361,-0.5736443524100527,0
2014-06-12,-0.6515278044849664,-1.067776160783109,-0.6391022133387517,-0.5736443524100527,0
2014-06-13,-0.7023640139455236,-1.059904549781421,-0.6368224716798979,-0.5736443524100527,0
2014-06-16,-0.6394877604076533,-1.0577968029269076,-0.6398011889451842,-0.5736443524100527,0
2014-06-17,-0.7184175336306413,-1.052319297575505,-0.6394582981304382,-0.5736443524100527,0
2014-06-18,-0.9123978502187253,-1.032816087701301,-0.6763399236714112,-0.5115288182786387,0
2014-06-19,-0.9110600250161238,-1.0295633821342423,-0.6863827841112936,-0.4494132841472247,0
2014-06-20,-0.8802906832664558,-1.0251526943264886,-0.6912043608991489,-0.4494132841472247,0
2014-06-23,-0.8628994659607699,-1.025490988411344,-0.6896066213771742,-0.5115288182786387,0
2014-06-24,-0.7090530123764975,-1.0419236632890658,-0.6976945271220373,-0.5115288182786387,0
2014-06-25,-0.7812939147505451,-1.0294982644934954,-0.6887826581394817,-0.5115288182786387,0
2014-06-26,-0.7759427415221724,-1.0325038406727445,-0.706231579598757,-0.5736443524100527,0
2014-06-27,-0.8254411257801278,-1.0276378058503055,-0.78123888804483,-0.5115288182786387,0
2014-06-30,-0.7839695651557479,-1.0285875704641245,-0.7822612125700484,-0.5736443524100527,0
2014-07-01,-0.840156947844678,-1.0115564485855881,-0.7676359824598613,-0.4494132841472247,0
2014-07-02,-0.8843041588742603,-1.009864978161312,-0.8135738876961459,-0.4494132841472247,0
2014-07-03,-0.9511938880199352,-0.9957873383494275,-0.8334334930183069,-0.3872977500158107,0
2014-07-07,-0.8160766045259839,-1.0059226608963934,-0.8114319814954757,-0.5736443524100527,0
2014-07-08,-0.7291200076694201,-1.0240598297265409,-0.768860953351452,-0.5115288182786387,0
2014-07-09,-0.7732672186990031,-1.0121939661708506,-0.7766239295067698,-0.5115288182786387,0
2014-07-10,-0.6475144564591953,-1.0227976592606516,-0.7618029149389693,-0.4494132841472247,0
2014-07-11,-0.7157420108074716,-1.0190376713898235,-0.7751479320858977,-0.4494132841472247,0
2014-07-14,-0.7505247005829104,-1.0066383196505522,-0.765091564227932,-0.5115288182786387,0
2014-07-15,-0.7317955304925897,-1.0116083838746717,-0.7598127004062484,-0.4494132841472247,0
2014-07-16,-0.8602238155555668,-1.000822520214294,-0.7537284695479867,-0.4494132841472247,0
2014-07-17,-0.3866445383074697,-1.0313328349039006,-0.657172214963016,-0.4494132841472247,0
2014-07-18,-0.7184175336306413,-1.00518111390945,-0.624453621438364,-0.4494132841472247,0
2014-07-21,-0.6180829399121289,-1.0111530368599861,-0.6291589111633189,-0.5115288182786387,0
2014-07-22,-0.6943373178939811,-0.9982722910497304,-0.6180465910173624,-0.5115288182786387,0
2014-07-23,-0.7906584360046889,-0.9937445503121467,-0.6176932653422371,-0.5115288182786387,0
2014-07-24,-0.7478490501777078,-0.9924825386697712,-0.62745829812447,-0.4494132841472247,0
2014-07-25,-0.6341365871792803,-1.0050249903951718,-0.6443370812288165,-0.5115288182786387,0
2014-07-28,-0.6515278044849664,-1.0042832845847145,-0.6473084583024612,-0.5115288182786387,0
2014-07-29,-0.5552066863742586,-1.015941089337043,-0.6323202072301832,-0.3872977500158107,0
2014-07-30,-0.5485176879432841,-1.0157849658227647,-0.6337064091883412,-0.5115288182786387,0
2014-07-31,-0.06423593665640848,-1.0670474785008013,-0.463172599334694,-0.4494132841472247,0
2014-08-01,-0.05353359019966316,-1.0742294778046295,-0.46209529202966826,-0.4494132841472247,0
2014-08-04,-0.3090524627050495,-1.0562225442559754,-0.43802389516367474,-0.5115288182786387,0
2014-08-05,-0.07493828311315379,-1.080656906593365,-0.40200753314149823,-0.4494132841472247,0
2014-08-06,-0.1418280122588287,-1.080617836008917,-0.4164004802362396,-0.5115288182786387,0
2014-08-07,-0.10303210203965202,-1.0945004405455891,-0.4194495905834969,-0.5115288182786387,0
2014-08-08,-0.222095738266452,-1.0658505844991726,-0.35764670969590084,-0.4494132841472247,0
2014-08-11,-0.42811622651388287,-1.058915714583154,-0.3557604762019241,-0.5736443524100527,0
2014-08-12,-0.44149409579379784,-1.0630402024186498,-0.3551522000981476,-0.5115288182786387,0
2014-08-13,-0.6060428958348157,-1.0461652040543916,-0.3549825607251876,-0.5736443524100527,0
2014-08-14,-0.6702569745752877,-1.0351579404154754,-0.3464394260135163,-0.5736443524100527,0
2014-08-15,-0.5725980312619783,-1.0353140639297533,-0.36037694089718053,-0.5115288182786387,0
2014-08-18,-0.6836349714372356,-1.0136121013275043,-0.3344395411006451,-0.5115288182786387,0
2014-08-19,-0.6983506659197523,-1.0007834496298462,-0.34547832497619374,-0.5115288182786387,0
2014-08-20,-0.7558758738112833,-0.9943950914255585,-0.3511864651442612,-0.5736443524100527,0
2014-08-21,-0.7585513966344529,-0.9867707686351942,-0.356690542894167,-0.4494132841472247,0
2014-08-22,-0.797347434435663,-0.9919360269580403,-0.3547503517470108,-0.4494132841472247,0
2014-08-25,-0.7665782202680286,-0.9795496987469179,-0.35495114448255305,-0.4494132841472247,0
